Zip code;State;Metro;County name;Date;Home value ($ per m2)
Ward;CO;Boulder;Boulder County;2019-01-01;355
Yellow Jacket;CO;;Montezuma County;2019-06-01;166
Beulah;CO;Pueblo;Pueblo County;2019-09-01;174
San Luis;CO;;Costilla County;2019-10-01;80
Mosca;CO;;Alamosa County;2019-07-01;3568
Weldona;CO;Fort Morgan;Morgan County;2019-04-01;140
Rush;CO;Colorado Springs;El Paso County;2019-09-01;158
Wiley;CO;;Prowers County;2019-02-01;75
Hartman;CO;;Prowers County;2019-08-01;32
Flagler;CO;;Kit Carson County;2019-03-01;69
Flagler;CO;;Kit Carson County;2019-08-01;69
Orchard;CO;Fort Morgan;Morgan County;2019-02-01;279
Orchard;CO;Fort Morgan;Morgan County;2019-09-01;279
Log Lane Village;CO;Fort Morgan;Morgan County;2019-09-01;66
Pinecliffe;CO;Denver-Aurora-Lakewood;Gilpin County;2019-06-01;359
Black Hawk;CO;Denver-Aurora-Lakewood;Gilpin County;2019-12-01;217
Haxtun;CO;;Phillips County;2019-08-01;86
Poncha Springs;CO;;Chaffee County;2019-02-01;233
Sargents;CO;;Saguache County;2019-10-01;111
Mack;CO;Grand Junction;Mesa County;2019-07-01;180
Mack;CO;Grand Junction;Mesa County;2019-02-01;180
Cripple Creek;CO;Colorado Springs;Teller County;2019-03-01;172
Cripple Creek;CO;Colorado Springs;Teller County;2019-05-01;172
De Beque;CO;Grand Junction;Mesa County;2019-10-01;244
Wolcott;CO;Edwards;Eagle County;2019-04-01;378
Dove Creek;CO;;Dolores County;2019-09-01;86
Columbine Valley;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-03-01;2185
Columbine Valley;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-06-01;2185
Fort Garland;CO;;Costilla County;2019-04-01;143
Hillrose;CO;Fort Morgan;Morgan County;2019-02-01;83
Victor;CO;Colorado Springs;Teller County;2019-07-01;122
Lewis;CO;;Montezuma County;2019-08-01;176
Cowdrey;CO;;Jackson County;2019-07-01;62
Georgetown;CO;Denver-Aurora-Lakewood;Clear Creek County;2019-05-01;258
Grant;CO;Denver-Aurora-Lakewood;Park County;2019-05-01;250
Julesburg;CO;;Sedgwick County;2019-06-01;64
Carr;CO;Greeley;Weld County;2019-11-01;280
Carr;CO;Greeley;Weld County;2019-06-01;280
Vernon;CO;;Yuma County;2019-09-01;129
Trinchera;CO;;Las Animas County;2019-03-01;129
Wetmore;CO;;Custer County;2019-08-01;106
Olney Springs;CO;;Crowley County;2019-04-01;72
Gill;CO;Greeley;Weld County;2019-11-01;277
Guffey;CO;Denver-Aurora-Lakewood;Park County;2019-09-01;238
Aguilar;CO;;Las Animas County;2019-04-01;117
Dillon;CO;Breckenridge;Summit County;2019-07-01;514
Somerset;CO;;Gunnison County;2019-11-01;224
Haswell;CO;;Kiowa County;2019-05-01;32
Hot Sulphur Springs;CO;;Grand County;2019-08-01;188
Kittredge;CO;Denver-Aurora-Lakewood;Jefferson County;2019-06-01;325
McClave;CO;;Bent County;2019-06-01;43
Lindon;CO;;Washington County;2019-03-01;98
Lindon;CO;;Washington County;2019-05-01;98
Silverton;CO;;San Juan County;2019-05-01;196
Glade Park;CO;Grand Junction;Mesa County;2019-12-01;205
Glade Park;CO;Grand Junction;Mesa County;2019-08-01;205
Glade Park;CO;Grand Junction;Mesa County;2019-02-01;205
Agate;CO;Denver-Aurora-Lakewood;Elbert County;2019-06-01;252
Agate;CO;Denver-Aurora-Lakewood;Elbert County;2019-09-01;252
Stoneham;CO;Greeley;Weld County;2019-03-01;261
Sheridan Lake;CO;;Kiowa County;2019-11-01;82
Manassa;CO;;Conejos County;2019-10-01;99
Eldorado Springs;CO;Boulder;Boulder County;2019-04-01;591
Hartsel;CO;Denver-Aurora-Lakewood;Park County;2019-01-01;354
Eagle;CO;Edwards;Eagle County;2019-09-01;261
Redstone;CO;Glenwood Springs;Pitkin County;2019-03-01;329
Wild Horse;CO;;Cheyenne County;2019-10-01;104
Idalia;CO;;Yuma County;2019-11-01;149
Idalia;CO;;Yuma County;2019-05-01;149
Silver Cliff;CO;;Custer County;2019-07-01;110
Silver Cliff;CO;;Custer County;2019-08-01;110
Silver Plume;CO;Denver-Aurora-Lakewood;Clear Creek County;2019-12-01;239
Kim;CO;;Las Animas County;2019-06-01;84
Maybell;CO;Craig;Moffat County;2019-06-01;101
Telluride;CO;;San Miguel County;2019-04-01;829
Bedrock;CO;Montrose;Montrose County;2019-06-01;183
Bedrock;CO;Montrose;Montrose County;2019-09-01;183
Arriba;CO;;Lincoln County;2019-08-01;59
Branson;CO;;Las Animas County;2019-04-01;70
Ohio City;CO;;Gunnison County;2019-11-01;239
Ohio City;CO;;Gunnison County;2019-01-01;239
Fraser;CO;;Grand County;2019-05-01;368
Fraser;CO;;Grand County;2019-07-01;368
Fraser;CO;;Grand County;2019-09-01;368
Sargents;CO;;Saguache County;2019-12-01;111
Idledale;CO;Denver-Aurora-Lakewood;Jefferson County;2019-10-01;402
Buffalo Creek;CO;Denver-Aurora-Lakewood;Jefferson County;2019-10-01;205
Log Lane Village;CO;Fort Morgan;Morgan County;2019-01-01;66
Williamsburg;CO;Cañon City;Fremont County;2019-12-01;139
Garcia;CO;;Costilla County;2019-05-01;63
Garden City;CO;Greeley;Weld County;2019-06-01;224
Sheridan Lake;CO;;Kiowa County;2019-03-01;82
