ZIP Code;City;State;Metro;County;House type;Date;Rental value;Price unit
80012;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;Condo / Co-op;2017-02;1050.0;Whole house
80014;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;Condo / Co-op;2017-10;1325.0;Whole house
80014;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;Condo / Co-op;2018-08;1400.0;Whole house
80247;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2017-12;1395.0;Whole house
80247;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2017-06;1295.0;Whole house
80112;Centennial;CO;Denver-Aurora-Lakewood;Arapahoe County;Condo / Co-op;2019-07;1797.5;Whole house
80206;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2018-06;2000.0;Whole house
80206;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2018-04;1897.5;Whole house
80202;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2017-10;2244.0;Whole house
80202;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2016-08;2475.0;Whole house
80202;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2013-10;2250.0;Whole house
80202;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2014-08;2200.0;Whole house
80202;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2016-10;2540.0;Whole house
80202;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2017-06;2400.0;Whole house
80237;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2018-03;1700.0;Whole house
80218;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2018-10;1497.5;Whole house
80218;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2017-06;1595.0;Whole house
80218;Denver;CO;Denver-Aurora-Lakewood;Denver County;Condo / Co-op;2019-07;1650.0;Whole house
80302;Boulder;CO;Boulder;Boulder County;Condo / Co-op;2017-02;1850.0;Whole house
80302;Boulder;CO;Boulder;Boulder County;Condo / Co-op;2017-07;1875.0;Whole house
80301;Boulder;CO;Boulder;Boulder County;Condo / Co-op;2017-01;1550.0;Whole house
80301;Boulder;CO;Boulder;Boulder County;Condo / Co-op;2019-02;1697.5;Whole house
80301;Boulder;CO;Boulder;Boulder County;Condo / Co-op;2019-07;1680.0;Whole house
80303;Boulder;CO;Boulder;Boulder County;Condo / Co-op;2017-03;1725.0;Whole house
80134;Parker;CO;Denver-Aurora-Lakewood;Douglas County;Single Family Residential home.;2015-05;2300.0;Whole house
80134;Parker;CO;Denver-Aurora-Lakewood;Douglas County;Single Family Residential home.;2017-07;2350.0;Whole house
80013;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;Single Family Residential home.;2015-09;1829.0;Whole house
80013;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;Single Family Residential home.;2013-03;1395.0;Whole house
80214;Lakewood;CO;Denver-Aurora-Lakewood;Jefferson County;Duplex / Triplex;2019-02;1297.5;Whole house
80015;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;Single Family Residential home.;2012-02;1595.0;Whole house
80015;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;Single Family Residential home.;2017-12;2050.0;Whole house
80015;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;Single Family Residential home.;2011-08;1495.0;Whole house
80015;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;Single Family Residential home.;2018-10;2125.0;Whole house
80525;Fort Collins;CO;Fort Collins;Larimer County;Single Family Residential home.;2017-10;1700.0;Whole house
80525;Fort Collins;CO;Fort Collins;Larimer County;Single Family Residential home.;2018-09;1800.0;Whole house
80525;Fort Collins;CO;Fort Collins;Larimer County;Single Family Residential home.;2017-11;1700.0;Whole house
80011;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;Single Family Residential home.;2018-09;1800.0;Whole house
80220;Denver;CO;Denver-Aurora-Lakewood;Denver County;Single Family Residential home.;2018-01;2000.0;Whole house
80220;Denver;CO;Denver-Aurora-Lakewood;Denver County;Single Family Residential home.;2018-11;1900.0;Whole house
80220;Denver;CO;Denver-Aurora-Lakewood;Denver County;Single Family Residential home.;2017-03;1950.0;Whole house
80020;Broomfield;CO;Denver-Aurora-Lakewood;Broomfield County;House with 1 bedroom;2017-02;1371.5;Whole house
80123;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 1 bedroom;2016-10;1202.5;Whole house
80123;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 1 bedroom;2017-12;1278.0;Whole house
80918;Colorado Springs;CO;Colorado Springs;El Paso County;House with 1 bedroom;2019-08;1050.0;Whole house
80211;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 1 bedroom;2018-04;1764.0;Whole house
80211;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 1 bedroom;2019-09;1808.0;Whole house
80011;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;House with 2 bedrooms;2018-04;1.83364661654135;Per square meter
80220;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2019-12;2.26170338285009;Per square meter
80220;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2019-01;1.83730682225656;Per square meter
80127;Ken Caryl;CO;Denver-Aurora-Lakewood;Jefferson County;House with 2 bedrooms;2018-05;1.63362114135154;Per square meter
80127;Ken Caryl;CO;Denver-Aurora-Lakewood;Jefferson County;House with 2 bedrooms;2017-05;1.68186046511628;Per square meter
80127;Ken Caryl;CO;Denver-Aurora-Lakewood;Jefferson County;House with 2 bedrooms;2019-06;1.71504921932333;Per square meter
80231;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2016-05;1.27097576493724;Per square meter
80231;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2016-02;1.28767066267066;Per square meter
80401;Golden;CO;Denver-Aurora-Lakewood;Jefferson County;House with 2 bedrooms;2017-11;1.70611755297881;Per square meter
80401;Golden;CO;Denver-Aurora-Lakewood;Jefferson County;House with 2 bedrooms;2019-10;1.77878395860285;Per square meter
80401;Golden;CO;Denver-Aurora-Lakewood;Jefferson County;House with 2 bedrooms;2019-04;1.78301158301158;Per square meter
80401;Golden;CO;Denver-Aurora-Lakewood;Jefferson County;House with 2 bedrooms;2019-09;1.76337196641583;Per square meter
80504;Longmont;CO;Boulder;Boulder County;House with 2 bedrooms;2018-05;1.53586497890295;Per square meter
80538;Loveland;CO;Fort Collins;Larimer County;House with 2 bedrooms;2017-01;1.22222222222222;Per square meter
80020;Broomfield;CO;Denver-Aurora-Lakewood;Broomfield County;House with 2 bedrooms;2018-07;1.7594823770265;Per square meter
80020;Broomfield;CO;Denver-Aurora-Lakewood;Broomfield County;House with 2 bedrooms;2017-12;1.46529562982005;Per square meter
80123;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2016-05;1.41338912133891;Per square meter
80123;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2016-06;1.44787644787645;Per square meter
80123;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2018-07;1.5663082437276;Per square meter
80123;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2017-06;1.53645833333333;Per square meter
80012;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;House with 2 bedrooms;2016-10;1.42721861471861;Per square meter
80012;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;House with 2 bedrooms;2018-05;1.47119341563786;Per square meter
80012;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;House with 2 bedrooms;2018-10;1.51374859708193;Per square meter
80014;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;House with 2 bedrooms;2019-05;1.43222222222222;Per square meter
80211;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2015-11;2.04819277108434;Per square meter
80211;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2015-02;1.984365865325;Per square meter
80211;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2014-03;2.01177736382323;Per square meter
80211;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2014-02;2.02980472764645;Per square meter
80211;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2019-12;2.14723926380368;Per square meter
80211;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2019-10;2.20125786163522;Per square meter
80537;Loveland;CO;Fort Collins;Larimer County;House with 2 bedrooms;2018-08;1.38703703703704;Per square meter
80134;Parker;CO;Denver-Aurora-Lakewood;Douglas County;House with 2 bedrooms;2019-12;1.48759372897764;Per square meter
80134;Parker;CO;Denver-Aurora-Lakewood;Douglas County;House with 2 bedrooms;2019-05;1.60947498966515;Per square meter
80015;Aurora;CO;Denver-Aurora-Lakewood;Arapahoe County;House with 2 bedrooms;2019-12;1.46699266503667;Per square meter
80525;Fort Collins;CO;Fort Collins;Larimer County;House with 2 bedrooms;2016-02;1.32584269662921;Per square meter
80205;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2016-02;1.92272085148098;Per square meter
80205;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2015-02;1.94493608652901;Per square meter
80205;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2016-11;2.0224337185588;Per square meter
80205;Denver;CO;Denver-Aurora-Lakewood;Denver County;House with 2 bedrooms;2017-11;1.86591975568318;Per square meter
80227;Lakewood;CO;Denver-Aurora-Lakewood;Jefferson County;House with 2 bedrooms;2013-09;1.14250039534026;Per square meter
80227;Lakewood;CO;Denver-Aurora-Lakewood;Jefferson County;House with 2 bedrooms;2019-06;1.56124264108587;Per square meter
80021;Westminster;CO;Denver-Aurora-Lakewood;Adams County;House with 2 bedrooms;2018-02;1.50970464135021;Per square meter
80021;Westminster;CO;Denver-Aurora-Lakewood;Adams County;House with 2 bedrooms;2017-04;1.54974358974359;Per square meter
80021;Westminster;CO;Denver-Aurora-Lakewood;Adams County;House with 2 bedrooms;2019-07;1.75539440881795;Per square meter
